FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0
Quality of MDR has been degraded from nominal due to a processing degradation. ,,,,,,,,,,
LINE OF 50 KM RES NODES and associated data,,,,,,,,,,
UTC_LINE_NODES,UTC time of line of 50 km nodes,n/a,UTC,1,1,1,short cds time,6,6,20
SAT_TRACK_AZI,Azimuth angle bearing of nadir track velocity,2,deg,1,1,1,u-integer2,2,2,26
50 KM RESOLUTION NODE and associated data,,,,,,,,,,
NODE_NUM,"50 km node number as used in the PGF (ref AD-2]), i.e., (10 to -10) for the left swath in the left-to-right order, (-10 to 10) for the right swath in the left-to-right order, 0 corresponding to the mid swath position in both swaths. ",0,count,42,1,1,integer2,2,84,28
SWATH INDICATOR,Swath (right or left),n/a,n/a,42,1,1,boolean,1,42,112
LATITUDE,Latitude (-90 to 90 deg),6,deg,42,1,1,integer4,4,168,154
LONGITUDE,Longitude (0 to 360 deg),6,deg,42,1,1,integer4,4,168,322
50 KM RESOLUTION TRIPLET COMPONENT and associated data,,,,,,,,,,
SIGMA0_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) sigma zero values",6,dB,3,42,1,integer4,4,504,490
KP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) kp values (values between 0 and 1)",4,n/a,3,42,1,u-integer2,2,252,994
INC_ANGLE_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) incidence angle values",2,deg,3,42,1,u-integer2,2,252,1246
AZI_ANGLE_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) azimuth angle values",2,deg,3,42,1,integer2,2,252,1498
F_KP,Flag related to the quality of the Kp estimate (ref. Ad-2),n/a,n/a,3,42,1,boolean,1,126,1750
F_USABLE,Flag related to the usability of the averaged value (ref. Ad-2),n/a,n/a,3,42,1,enumerated,1,126,1876
F_LAND,Flag related to the use of measurements over land in the generation of averaged value (ref. Ad-2)  (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,2002
50 KM RESOLUTION SOIL MOISTURE COMPONENT,,,,,,,,,,
WARP_NRT_VERSION,WARP-NRT version number,0,n/a,1,1,1,u-integer2,2,2,2254
PARAM_DB_VERSION,Parameters database version,0,n/a,1,1,1,u-integer2,2,2,2256
SOIL_MOISTURE,Soil Moisture (0 to 100%),2,%,42,1,1,u-integer2,2,84,2258
SOIL_MOISTURE_ERROR,Estimated Soil Moisture Error %,2,%,42,1,1,u-integer2,2,84,2342
SIGMA40,Extrapolated Sigma0 backscatter at 40 degrees incidence angle,6,dB,42,1,1,integer4,4,168,2426
SIGMA40_ERROR,Estimated Error in Extrapolated Sigma Zero backscatter at 40 degrees incidence angle,6,dB,42,1,1,integer4,4,168,2594
SLOPE40,Slope at 40 degrees incidence angle,6,dB,42,1,1,integer4,4,168,2762
SLOPE40_ERROR,Estimated error in the slope at 40 degrees incidence angle,6,dB,42,1,1,integer4,4,168,2930
SOIL_MOISTURE_SENSETIVITY,Soil Moisture sensitivity ,6,dB,42,1,1,u-integer4,4,168,3098
DRY_BACKSCATTER,Dry backscatter,6,dB,42,1,1,integer4,4,168,3266
WET_BACKSCATTER,Wet backscatter,6,dB,42,1,1,integer4,4,168,3434
MEAN_SURF_SOIL_MOISTURE,Mean surface soil moisture (0 to 100%),2,%,42,1,1,u-integer2,2,84,3602
RAINFALL_FLAG,"Rainfall contamination flag (0 to 100, zero meaning no rain contamination, 100 meaning full rain contamination)",0,n/a,42,1,1,u-byte,1,42,3686
CORRECTION_FLAGS,Correction flags,0,n/a,42,1,1,u-byte,1,42,3728
PROCESSING_FLAGS,Processing flags,0,n/a,42,1,1,u-integer2,2,84,3770
AGGREGATED_QUALITY_FLAG,"Aggregated quality flag. Equal to the maximum value of fields 36,37,38 & 39",0,n/a,42,1,1,u-byte,1,42,3854
SNOW_COVER_PROBABILITY,Flag indicating probability of presence of snow cover,0,n/a,42,1,1,u-byte,1,42,3896
FROZEN_SOIL_PROBABILITY,Flag indicating probability of frozen soil,0,n/a,42,1,1,u-byte,1,42,3938
INNUDATION_OR_WETLAND,Flag indicating the fraction of inundation and wetland areas. Zero  means no innudation or wetland areas present,0,n/a,42,1,1,u-byte,1,42,3980
TOPOGRAPHICAL_COMPLEXITY,"Flag indicating the topographical complexity (equal to the normalised standard deviation of the elevation). Zero values mean flat, higher values mean complex topography",0,n/a,42,1,1,u-byte,1,42,4022
SIZE OF THE RECORD,,,,,,,,,4064,4064
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
